NomDuGroupe	Restaurant	Note	Prix	Cuisine	Service	Ambiance	Avis	URL
Decoopman_Flin	Chalet la Pricaz - Montmin	5.0	NE	Positive	Positive	NE	Accueil chaleureux, équipe au top , toujours souriants et prévenants , plats copieux, savoureux et bien présentés et cette vue imprenable sur les montagnes et le lac , un pur moment de bonheur partagé. Merci à tous et bonne continuation	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r942920348-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Gaubert_Godin	Brasserie Chavant Grenoble	4.0	Positive	Positive	Positive	Négative	Service au top, rapide. Un peu chaud à l'étage mais un des seuls restaurants ouvert un premier mai ! Bravo ... Repas sophistiqué et plein de saveurs, vin frais bien conseillé, dessert maison bref rien que du bon avec un coût acceptable. Nous reviendrons ....	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or180-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Terre Adélice - Lyon"""""""	5.0	NE	Positive	Positive	Positive	"""""""Glaces délicieuses ! Je recommande très largement si vous voulez prendre une glace sur Lyon de qualité. Les serveurs sont aimables et l’ambiance est top"""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r805072786-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Duret_Philippe	Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	NE	Pour moi, le meilleur restaurant d'Annecy. Le cadre est parfait, le personnel est très accueillant, professionnel et de bons conseils, les plats sont excellents (la raclette est la meilleure).  Bref, une adresse à ne pas louper !!! Bravo	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r941742229-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Terre Adélice - Lyon"""""""	1.0	Négative	Négative	Négative	Négative	"""""""Accueil à la chaîne et pas très agréable. Le prix est élevé des boules 4,5 euro la boule. Une des 3 boules citron vert avait une consistance bizarre pas agréable en bouche. On la signalé mais au lieu d'écouter/ verifier on nous a envoyer balader. C est la seconde fois quonest venu, on reviendra plus."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g187265-d2443980-r683493721-Terre_Adelice_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html"""""""
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	1.0	NE	Négative	Négative	Négative	Alléchés par les notes de ce restaurant, nous y avons été et quelle déception ! (Sûrement dû au changement de propriétaire d’ailleurs !)Service déplorable, plat fade et pas conforme à la description sur le menu.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r833192624-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Gaubert_Godin	Brasserie Chavant Grenoble	4.0	NE	NE	Positive	Positive	Belle découverte  Dommage qu’il manquait beaucoup de chose à la carte le dimanche soir  serveur très sympa  Et très beau cadre	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or60-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	4.0	NE	Neutre	Négative	Neutre	Depuis le temps que j'entendais parler de ce restaurant, il fallait que je le teste. 1er constat : la viande, la sauce et les frites sont aussi bonnes qu'on me l'avait dit, un délice ! Rien que pous ça, je pense que j'y retournerais. Les frites sont à volonté et il y a de quoi se servir une 2ème portion de viande dans le plat qui reste sur la table, on peut également choisir différentes cuissons pour sa viande selon les goûts de chacun. Par contre, le sourire semble cruellement manquer à certains membres du personnel. Peu de choix pour le vin, nous qui ne buvons que du vin blanc moelleux, nous avons dû nous contenter d'un kir (pas très bon et de l'eau ensuite). La déco est assez kitch mais ça a son charme. Si vous voulez y manger, allez-y dès l'ouverture car le restaurant se remplit très vite !	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or225-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
DiMalta_Fauchon	Shunbun - Grenoble	5.0	NE	Positive	Positive	NE	Repas avec une amie, nous sommes venues sans réservation mais nous avons eu la chance, nous avons eu une table (un samedi soir à 20h30 ; pensez à réserver tout de même !) Nous avons prix l'assiette apéritive en entrée (crevette tampura, edamame et raviolis vapeur), une tuerie. Puis nous avons eu l'accompagnement, salade de choux pour moi et soupe miso pour mon amie, délicieux ! Et enfin les sushis, wouha, j'ai testé des dizaines de sushis, mais ce sont les meilleurs que j'ai mangé. Il faut vraiment les savourer ! En dessert le thé gourmand avec le mochi glacé qui était très bon.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d5443596-r714481522-Shunbun-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Feron_Mecheloukh	Le Marrakech - Annecy	5.0	NE	Positive	Positive	Positive	Dans une ambiance orientale, un accueil souriant, des plats raffinés et copieux qui nous font voyager. À recommander.	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or180-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	3.0	NE	Positive	Négative	NE	La cuisine reste parfaite, oeuf en meurette parfait et joliment présenté, poisson moelleux avec sa peau idéalement croquante (mangez-là, vous ne serez pas déçus)...mais...il ne faut pas souhaiter boire, tout au moins ce jour là, en recevant l'entrée ni même au début du plat principal car, 3 fois de suite, la sommelière revient vers nous en annonçant que le vin choisi, en plus dans la liste très succincte qu'elle nous a annoncée oralement, n'est plus disponible car le patron l'a justement emmené chez lui. L'établissement n'est pas immense il est vrai et la place doit manquer, mais n'est-il pas possible d'avoir une meilleure gestion des stocks de vin? Merci finalement de ne pas nous l'avoir facturé mais dommage pour le ressenti et...pour le vin servi qui n'était pas du tout à la hauteur de la cuisine.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r723426683-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	1.0	NE	NE	Négative	NE	Une erreur de service nous a servis une planche de charcuterie.  Le responsable nous a forcé a la payer car nous l avons manger  Inadmissible.	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r971610679-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Duret_Philippe	Le Chalet Restaurant - Annecy	4.0	NE	Positive	Positive	Positive	L’accueil est bon . L’intérieur de l’établissement est chaleureux Notre spécialité savoyart était copieuse et exquise	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r943528611-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	5.0	Positive	Positive	Positive	Neutre	Très content d'avoir découvert ce restaurant hier soir avec ma copine. La carte est originale, les prix raisonnables, les cuissons sont parfaites et on sent que les cuisinier ont de l'expérience en matière de cuisson (agneau de 7h ultra fondant, œuf parfait cuit à basse température, bœuf saignant délicieux...). Nous n'avions pas réservé et le restaurant était quasiment complet, pourtant le service a été très rapide et le serveur vraiment très sympa. Vins bien en accord avec les plats. Digestif et champagne offerts à la fin... Seul petit bémol : la salle est un peu bruyante mais c'est sans doute la rançon de la gloire pour cette bonne adresse grenobloise ! A très bientôt l'équipe d'une semaine sur deux (désormais ouvert chaque semaine d'après ce que j'ai compris, avec une équipe étoffée)	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r615937072-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	5.0	NE	Positive	Positive	NE	Très bonne accueil, nous avons fêter mes 18 ans. Deux serveurs qui se sont occupé de nous dont Denis et Samir, très sympathique ! Le repas succulent. Nous vous remercions encore pour cette très bonne soirée.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or210-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Feron_Mecheloukh	Le Marrakech - Annecy	5.0	NE	Positive	Positive	NE	Nous sommes venus manger un soir entre amis : couscous royal délicieux, accueil chaleureux... je recommande !	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or30-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	4.0	Positive	Positive	NE	NE	Une carte variée, un bon rapport qualité prix, des bières maisons, c est parfait entre amis, en famille ou pour un rdv business.	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r442626976-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Duret_Philippe	Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	Positive	Très bel établissement  au cœur d Annecy     Une excellente cuisine et un  tres bel accueil gentillesse et professionnalisme du personnel je recommande fortement .(Team Megeve )	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r950446983-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	4.0	NE	NE	NE	Positive	Notre rituel pour notre anniversaire de mariage, depuis quelques années : nous ne sommes jamais déçus. De la qualité, le sens de l'accueil, le sourire... C'est parfait.	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r969594910-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Bour	La veyrie - Bernin	5.0	Positive	Positive	Positive	Positive	Beau restaurant avec vue panoramique même depuis l'intérieur.  Propositions variées à la carte.  Les plats sont préparés avec respect du produit, belle qualité !  Merci pour un repas de famille à 10 reussi	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r826811187-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
Hardwick_Micha	Les Terrasses de Lyon - Lyon	4.0	Positive	Positive	Positive	Neutre	"""""""Un très bon restaurant. Nous avons passé une très bonne soirée aux Terrasses de Lyon. La situation du restaurant est exceptionnelle avec une vue imprenable sur le vieux Lyon et la Presqu'île. Le cadre est très beau (bâtiment) mais la déco un peu """"""""vieillotte"""""""".Le service est très agréable. Les serveurs ont répondu à nos questions.Nous avons choisi le menu découverte. La cuisine est plutôt classique mais efficace (mention pour le dessert autour de l'abricot, vraiment excellent). Le rapport qualité prix est correct."""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d3727154-r605081531-Les_Terrasses_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Decoopman_Flin	Chalet la Pricaz - Montmin	5.0	NE	Positive	Positive	NE	Très bel endroit, une vue  à couper le souffle ! la reblochonade  extra et le personnel très serviable. Un restaurant qui respecte sa clientèle. Que dire de plus : nous y retournerons les yeux fermés. Attention de bien réserver à l'avance car rarement de la place sans réservation.	https://www.tripadvisor.fr/ShowUserReviews-g3528948-d3291536-r885738379-Chalet_la_Pricaz-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	5.0	Neutre	Positive	Positive	Positive	"""""""L'esprit école est très présent, tout est soigné, Service et repas, tout était impeccable Très bon moment, je recommande"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r977087144-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	5.0	NE	Positive	Positive	Positive	"""""""Une équipe très accueillante et chaleureuse. Un service impeccable. Une cuisine délicieuse, des assiettes joliment présentées, des produits de qualités, des associations et saveurs subtiles pour le saumon gravelax, un pâté en croûte tout en finesse, et une cuisson parfaitement maîtrisée pour le paleron qui est le plat signature. Bravo au chef et à son équipe de jeunes apprentis qui sont sérieux et méticuleux dans leur préparation. Souhaitons leur de réussir leur parcours. En salle, un chef de salle sympathique et efficace entouré d’une équipe professionnelle avec les anciens expérimentés qui sont les piliers pour les jeunes apprentis plein de bonne volonté avec qui il faut savoir être tolérant et qu’il faut encourager pour avoir choisi un métier exigeant qui demande d’être souriant tout en étant rigoureux. Ce qu’ils font au mieux vu leur début… J’ai passé un excellent moment au sein d’un lieu à l’ambiance particulière. Bravo à tous, et un grand Merci de la part d’un épicurien."""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r915305262-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	5.0	NE	Positive	Positive	NE	Je n avais jamais goûter la cuisine indienne .nous avons adorer. Aller au nomnau sans hésiter personnel très accueillant beaucoup de choix . A refaire très vite	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r564212100-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	1.0	Négative	Négative	Négative	NE	déçue : les serveurs parlent peu français donc 3 erreurs sur la commande, poulet réchauffé +++ et agneau sans goût et dur comme du béton.  Grosse déception, je ne recommande pas et cher pour la qualité médiocre	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r827306147-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Campiglia_Sigrist	Brasserie Georges - Lyon	5.0	NE	Neutre	Positive	Positive	Très bien cette ambiance de brasserie bon accueil et personnel agréable je recommande cette  adresse convivial met copieux et cette ambiance anniversaire très sympathique	https://www.tripadvisor.fr/Restaurant_Review-g187265-d695217-Reviews-or45-Brasserie_Georges-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Macé_Mutamu	Les Terrasses Poulard - Le Mont-Saint-Michel	1.0	Négative	Négative	Négative	Neutre	Repas décevant... les moules petites et durs.. pas grand chose a se mettre sous la dent malheureusement... pour au final avoir une addition salées Merci !  Et en plus un courant d'air en mangeant pas agréable du tout..  Restaurant a évité !	https://www.tripadvisor.fr/ShowUserReviews-g196646-d3506371-r572071878-Les_Terrasses_Poulard-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	5.0	NE	Positive	Positive	NE	Soirée en familles excellentes accueille service impeccable repas sans aucun reproche. Le plus  l équipe de serveur super agréable  Bravo je reviendrai	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r861740693-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	5.0	NE	Positive	Positive	Positive	"""""""Nous avons passé une excellente soirée, service attentionné et cuisine d'une réelle finesse. Une très belle et bonne expérience gustative!!"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r920923569-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	1.0	NE	Négative	Négative	NE	Arrivé 13h pas trop de monde, nous étions venus autrefois et nous avions apprécié l’ensemble de la prestation...changement de propriétaire ou de chef cuisinier toujours est-il...toilette sale, repas Fish et chips sauce tartare 3B ? En fait une sauce cocktail revisité ! Salade sans assaisonnement et serveuse étonnée de nos demandes, après le passage d’un « responsable «  tout est normal, pas bon pas assaisonné, sans aucune saveur c’est normal... nous ne reviendrons plus... une étoile pour le citron qui accompagné les 14.10&...	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r750230693-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Lacene	"""""""L'institut restaurant-Lyon"""""""	5.0	Neutre	Positive	Positive	Positive	"""""""Première fois au sein de votre établissement. Super expérience, équipes professionnelles et de qualité ! (Attention néanmoins à ne pas se tromper de plats)."""""""	https://www.tripadvisor.fr/ShowUserReviews-g187265-d5539701-r972614857-L_Institut_Restaurant-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	4.0	NE	Positive	Positive	NE	Je connaissais déjà, pour avoir très bien mangé à L'entrecôte à Bordeaux Aussi s est sans surprise que j ai pu le faire découvrir en famille cette fois à Lyon. Viande irréprochable,sauce toujours aussi savoureuse, frites bonnes et à volonté, desserts très copieux,service pro,agréable et rapide. Une bonne soirée, partagée et à renouveler biensûr.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or60-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Chateau de la commanderie - Grenoble"""""""	2.0	NE	Neutre	Négative	Positive	"""""""Rien à redire sur les plats qui sont au top sauf peut-être le dessert très moyen. Nous avons pris un menu découverte. Après un apéro dans le parc qui est magnifique nous nous sommes assis à notre table.Il ne s est rien passé pendant 20 minutes et c'est sur notre demande qu'on nous a apporté la carte. Le service à été ensuite desesperement lent: au bout d une heure vingt à table nous n avions toujours pas le plat principal. Aucune personne précise n avait l air de s occuper de notre table. Personne ne debarassait rapidement nos couverts. Même en les mettant ostensiblement au bord de l allée. Nous avons également demandé la carte des vins qui est arrivée mais personne n'est venue prendre la commande. Si bien que nous avons eu le plat principal avant le vin. En bref c est vraiment dommage nous n avons pas eu la sortie cool que nous espérions. Bon on n a peut-être pas eu de chance d utres clients avaient l air d être servis normalement. Malheureusement il semble que d autres clients aient eu une expérience comparable alors si vous y allez bon courage."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r606694552-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Berger_Selvaradjou	Le Bombay	5.0	Neutre	Positive	Positive	Positive	J’avais entendu parlé de ce restaurant. Je m’y suis rendu , réservation une heure avant d’arriver ( vendredi soir ) dehors il faisait un peu froid , le patron nous installe , nous demandons à changer de table et ce fut réalisé en moins de cinq minutes . Nous commandons deux menus , les plats arrivent...... excellent et très copieux le reste du repas fut une totale découverte et surtout des  mets  délicieux, raffinés et excellents. L’addition était très correcte ( moins de 80€ pour deux boissons comprises ) je recommande vivement ce restaurant pour sa cuisine, son accueil et son cadre . Je reviendrai très prochainement. AlainPatrick	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r725426735-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	5.0	NE	Positive	Positive	NE	"""Très bon restaurant, service agréable et efficace. La Direction est vraiment à  votre écoute  pour vous conseiller sur le choix des plats...Qui sont très copieux et du coup on vous propose de rapporter si vous voulez ce que vous n'pavez pas pu finir!! LE PLUS c'est que les normes anti.Covid sont très """" bien respectées"""""""	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r775677597-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Berger_Selvaradjou	Le Bombay	5.0	NE	Positive	NE	NE	Excellent. Rien d’autre à dire. On y va depuis des années et c’est toujours aussi bon.  Tous les plats sont remarquables. Encore une fois,rien d’autre à dire.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r559635931-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Meftah_Bourass	"""""""Chateau de la commanderie - Grenoble"""""""	4.0	Neutre	Positive	NE	Positive	"""""""Beau cadre, plats excellents, du fait de la météo actuelle nous n'avons pas pu profiter de la terrasse qui doit être très agréable. Restaurant à considérer pour une grande occasion compte tenu des prix pratiqués."""""""	"""""""https://www.tripadvisor.fr/ShowUserReviews-g672838-d1025014-r162132966-Chateau_de_la_Commanderie-Eybens_Grenoble_Isere_Auvergne_Rhone_Alpes.html"""""""
Gaubert_Godin	Brasserie Chavant Grenoble	4.0	NE	Positive	Positive	NE	Services impeccables avec des gens qui apprécient leur métier. Cadre moderne et de bon goût tout comme ce qui vous est servi dans vos assiettes. Un moment agréable pour les hédonistes.	https://www.tripadvisor.fr/Restaurant_Review-g187264-d3237883-Reviews-or165-Brasserie_Chavant_Grenoble-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Chaussemy_Zergua	Les Grands Buffets - Narbonne	2.0	Négative	Positive	NE	Négative	très froid du vent pas agréable gardez les veste pas de chauffage n est pas pu annuler ma réservation en ligne surement suite a un bug	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r950672018-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Berger_Selvaradjou	Le Bombay	5.0	Négative	NE	NE	Positive	Le meilleur restaurant indien de Grenoble à l'ambiance typique. Prévoyez un budget un plus élevé que la moyenne mais vous serez heureux de l'expérience. Pensez a réserver !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d795433-r631430031-Le_Bombay-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bernard	Bistrot André - Grenoble	3.0	NE	Négative	Neutre	NE	Lors de notre 2eme visite en famille, plats moins gourmands que le midi et service brouillon mais sympathique. Décevant	https://www.tripadvisor.fr/ShowUserReviews-g187272-d10312929-r973458773-Bistro_Andre-Valence_Drome_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	5.0	Positive	Positive	Positive	NE	Je recommande fortement ce resto! Premièrement, au niveau qualité prix il n'y a rien à dire! En plus du repas, le point fort de ce lieu est l'ACCUEIL! Rien à dire! Le sourire, le professionnalisme, l'amabilité sont au rendez-vous. Vous ne serez jamais déçu, on ressort toujours de ce restaurant le ventre plein et le sourire ! Malgré le monde qu'il peut y avoir, étant habituée des lieux, je suis toujours placée rapidement tant la semaine que les week-ends! Un grand merci à l'équipe dirigée par une responsable très agréable.	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or135-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Mathon_Zarch	Le Gratin Dauphinois - Grenoble	5.0	Positive	Positive	Positive	NE	Ce restaurant est vraiment une découverte sur Grenoble. L’accueil est parfait et la serveuse est gentille et super efficace.  Les plats sont copieux et très bons. Les salades sont géantes même si je n’ai pas eu l’occasion de goûter mais le hamburger est juste terrible tout comme l’entrecôte et la boite.  Que du bonheur en résumé donc n’hésitez plus et allez y les yeux fermées.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d9856054-r616507115-Le_Gratin_Dauphinois-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bour	La veyrie - Bernin	5.0	NE	Positive	NE	NE	Une cuisine travaillée et de saison, c’était excellent ! Nous reviendrons en été profiter de la terrasse !	https://www.tripadvisor.fr/ShowUserReviews-g858498-d8263818-r658847015-La_Veyrie-Bernin_Isere_Auvergne_Rhone_Alpes.html
Feron_Mecheloukh	Le Marrakech - Annecy	4.0	NE	Positive	Positive	Positive	Un patron souriant , une cuisine à son image , un lieu plein de couleur . Une tajine et un couscous dans des proportions généreuses . Peut être refaire les cartes de menu ou les tendres moins collantes 🤪	https://www.tripadvisor.fr/Restaurant_Review-g187260-d1992149-Reviews-or60-Le_Marrakech-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Dorget_Sage	Les 3 Brasseurs - Echirolles	5.0	Positive	Positive	NE	NE	Avec ma fille on a bien aimé ce restaurant : un burger où l on peut remplacer la viande par une galette et un saumon mi cru,mi cuit. Et un prix correct	https://www.tripadvisor.fr/ShowUserReviews-g1051968-d4742729-r699283357-Les_3_brasseurs-Echirolles_Isere_Auvergne_Rhone_Alpes.html
Espinal_Lu	La Ferme à Dédé - Grenoble	3.0	NE	Neutre	Neutre	Positive	Expérience « moyenne » Nous étions en semaine et le restaurant était partiellement rempli mais les délais d'attente étaient très longs. Les plats sont arrivés juste chauds alors qu'ils étaient dans des plats en fonte.  Le poulet était trop cuit (sec) malgré la sauce aux morilles.  Heureusement, le serveur était sympathique. Le gratin dauphinois excellent et le cadre agréable.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r805879502-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Espinal_Lu	La Ferme à Dédé - Grenoble	1.0	Neutre	Négative	Positive	Positive	Si le décor est agréable, la qualité de la cuisine est très décevante . Nous avons commandé une raclette pour 6 personnes (22€ par personne) le fromage insipide, la charcuterie très bas de gamme (coriace et sans goût rapport qualité prix zéro. À noter que le personnel était très agréable.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r943263131-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Bouhjoura_Feydel	Les Jardins de Sainte-Cécile - Grenoble	5.0	NE	Positive	Positive	Positive	Voici un endroit parfait pour passer une belle soirée: le lieu calme et élégant, les plats délicieux, le service discret mais efficace... Nous avons commencé la soirée de façon plus festive car vous pouvez boire un verre et déguster des tapas dans un coin plus cosy avec musique...mais pas beaucoup de place, je ne sais pas si on peut réserver ? Nous reviendrons en famille ou avec des amis.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d2284818-r683969709-Les_Jardins_de_Sainte_Cecile-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Duret_Philippe	Le Chalet Restaurant - Annecy	5.0	NE	Positive	Positive	NE	Un restaurant chaleureux avec un accueil de qualité. Nous avons mangé une raclette qui était excellente et copieuse. Je recommande !!!	https://www.tripadvisor.fr/ShowUserReviews-g187260-d5799201-r975533166-Le_Chalet_Restaurant-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
Guo	L'Entrecôte	5.0	NE	Positive	NE	NE	Tout est bon, salade noix, viande très fondante, frites maison délicieuses, j'apprécie le deuxième service de frites compris dans le menu et sa fameuse sauce un délice et ses desserts classiques bon...	https://www.tripadvisor.fr/Restaurant_Review-g187265-d2075406-Reviews-or30-L_Entrecote-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Chaussemy_Zergua	Les Grands Buffets - Narbonne	4.0	Positive	Positive	NE	Négative	Ce serait très bien si l'attente n'était pas aussi longue on nous demande d'arriver à l'heure et on nous fait attendre 45 mn c'est intolérable mais je pense que l'organisation n'est pas bonne, les buffets sont trop rapprochés et on ne peut pas y accéder comme on veut. La cuisine est excellente et le personnel d'un dévouement extrême Le rapport qualité prix est excellent	https://www.tripadvisor.fr/ShowUserReviews-g187155-d1903797-r971860003-Les_Grands_Buffets-Narbonne_Aude_Occitanie.html
Oualla_Saoudi	Une Semaine sur Deux - Grenoble	3.0	Négative	Positive	Neutre	Négative	Des plats bien préparés, agréables en bouche, mais déception sur l’ambiance globale. Bruyant, serré, service moyen, rapport qualité prix plutôt cher. Carte des vins très correcte et pas chère.	https://www.tripadvisor.fr/ShowUserReviews-g187264-d3580943-r884600363-Une_Semaine_sur_Deux-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Espinal_Lu	La Ferme à Dédé - Grenoble	5.0	Positive	Positive	Positive	NE	Rapport qualité prix excellent.  Accueil et service formidable  On mange local, cuisine familiale avec des matières premières de qualité et transformées divinement bien J ai juste testé la formule de midi entrée et plat du jour....sans mauvaise  surprise....allez y !	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718658-r935233061-La_Ferme_a_Dede_Grenoble_Centre-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Katz_Dartois	La Fondue - Grenoble	5.0	NE	Positive	Positive	NE	Yen très bonne adresse avec beaucoup de choix. Tous les plats sont délicieux et les quantités sont assez énormes.  Accueil agréable! Pensez à réserver c’est toujours plein!	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r630222818-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
Katz_Dartois	La Fondue - Grenoble	3.0	NE	Négative	Positive	NE	Fondue savoyarde : Rien d exceptionnel. Certainement trop bien habitué à ma fondue thermomix ou celle de megeve avec du vrai fromage :)  Personnel sympathique et serviable malgres tout. Mais nous n y retournerons pas, et si vous aimez le vrai goût laisser tomber vous risqueriez d être déçu (du moins pour la fondue savoyarde ...)	https://www.tripadvisor.fr/ShowUserReviews-g187264-d718663-r515991036-La_Fondue-Grenoble_Isere_Auvergne_Rhone_Alpes.html
